src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,packet_rate,hour,minute,day_of_week
14,5,443,59532,0,-0.6480058012280302,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59536,0,-0.5541807688848047,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59536,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59536,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59536,0,-0.6370747294987223,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59536,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59536,443,0,-0.6480058012280302,0.3406975442185154,-0.3749989603945657,9,57,0
14,5,443,59536,0,-0.2417343019554226,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59536,443,0,-0.6480058012280302,0.3406975442185154,-0.3749989603945657,9,57,0
5,14,54244,1900,1,-0.534140470714407,0.4383987186430587,-0.4189086298350165,9,57,0
5,0,59526,443,0,-0.6480058012280302,-0.8960080892496876,-0.1670909528159391,9,57,0
0,5,443,59526,0,-0.6425402653633763,-0.913177747308376,-0.4221487387598042,9,57,0
0,5,443,59526,0,-0.6480058012280302,-0.913177747308376,-0.4221487387598042,9,57,0
5,0,59526,443,0,-0.6480058012280302,-0.8960080892496876,-0.1670909528159391,9,57,0
5,15,51249,443,1,-0.6270545804135236,0.1383745287233077,-0.4179841764554091,9,57,0
17,5,443,51249,1,-0.6279655030576325,0.1382967178875515,-0.4179838682709651,9,57,0
5,13,5353,5353,1,-0.6224999671929786,-0.4617521117255673,-0.4027468500557719,9,57,0
5,13,5353,5353,1,-0.6224999671929786,-0.4617521117255673,-0.4027468500557719,9,57,0
5,10,59537,443,0,-0.6370747294987223,0.3406975442185154,-0.3749989603945657,9,57,0
14,5,443,59537,0,-0.6370747294987223,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59537,443,0,-0.6480058012280302,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,-0.1770587942236847,0.3406975442185154,-0.3749989603945657,9,57,0
5,13,5353,5353,1,-0.6224999671929786,-0.4617521117255673,-0.4027468500557719,9,57,0
5,13,5353,5353,1,-0.6224999671929786,-0.4617521117255673,-0.4027468500557719,9,57,0
14,5,443,59537,0,-0.5578244594612406,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59537,443,0,-0.2499326057524035,0.3406975442185154,-0.3749989603945657,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,0.6746538780182167,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,0.6746538780182167,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,0.6746538780182167,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,-0.4858615705766307,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59537,443,0,-0.6480058012280302,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.6637228062889089,0.3406975442185154,-0.3749989603945657,9,57,0
5,10,59537,443,0,0.2510748485075385,0.3406975442185154,-0.3749989603945657,9,57,0
14,5,443,59537,0,-0.5541807688848047,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59537,443,0,-0.6480058012280302,0.3406975442185154,-0.3749989603945657,9,57,0
5,15,51249,443,1,-0.5915285972932731,0.1383745287233077,-0.4179841764554091,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,-0.6425402653633763,0.5249567517042651,-0.3871301558748286,9,57,0
14,5,443,59537,0,-0.222604926429134,0.5249567517042651,-0.3871301558748286,9,57,0
5,10,59537,443,0,-0.6480058012280302,0.3406975442185154,-0.3749989603945657,9,57,0
