src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,flow_duration,packet_rate
14,5,443,59532,0,-0.6480058012280302,2025-06-16 09:57:14.077548981,0.5249567517042651,-0.38713015587482863
14,5,443,59536,0,-0.5541807688848047,2025-06-16 09:57:14.204519033,0.5249567517042651,-0.38713015587482863
14,5,443,59536,0,-0.6425402653633763,2025-06-16 09:57:14.204519033,0.5249567517042651,-0.38713015587482863
14,5,443,59536,0,-0.6425402653633763,2025-06-16 09:57:14.204519033,0.5249567517042651,-0.38713015587482863
14,5,443,59536,0,-0.6370747294987223,2025-06-16 09:57:14.204519033,0.5249567517042651,-0.38713015587482863
14,5,443,59536,0,-0.6425402653633763,2025-06-16 09:57:14.204519033,0.5249567517042651,-0.38713015587482863
5,10,59536,443,0,-0.6480058012280302,2025-06-16 09:57:14.204642057,0.34069754421851545,-0.37499896039456576
14,5,443,59536,0,-0.24173430195542267,2025-06-16 09:57:14.206093073,0.5249567517042651,-0.38713015587482863
5,10,59536,443,0,-0.6480058012280302,2025-06-16 09:57:14.206156015,0.34069754421851545,-0.37499896039456576
5,14,54244,1900,1,-0.534140470714407,2025-06-16 09:57:14.456330061,0.4383987186430587,-0.4189086298350165
5,0,59526,443,0,-0.6480058012280302,2025-06-16 09:57:14.504411936,-0.8960080892496876,-0.16709095281593916
0,5,443,59526,0,-0.6425402653633763,2025-06-16 09:57:14.542454958,-0.9131777473083761,-0.42214873875980424
0,5,443,59526,0,-0.6480058012280302,2025-06-16 09:57:14.542454958,-0.9131777473083761,-0.42214873875980424
5,0,59526,443,0,-0.6480058012280302,2025-06-16 09:57:14.542586088,-0.8960080892496876,-0.16709095281593916
5,15,51249,443,1,-0.6270545804135236,2025-06-16 09:57:14.623301983,0.13837452872330774,-0.41798417645540914
17,5,443,51249,1,-0.6279655030576325,2025-06-16 09:57:14.673501968,0.13829671788755155,-0.4179838682709651
5,13,5353,5353,1,-0.6224999671929786,2025-06-16 09:57:15.004611969,-0.4617521117255673,-0.40274685005577193
5,13,5353,5353,1,-0.6224999671929786,2025-06-16 09:57:15.005244970,-0.4617521117255673,-0.40274685005577193
5,10,59537,443,0,-0.6370747294987223,2025-06-16 09:57:15.525791883,0.34069754421851545,-0.37499896039456576
14,5,443,59537,0,-0.6370747294987223,2025-06-16 09:57:15.796374083,0.5249567517042651,-0.38713015587482863
5,10,59537,443,0,-0.6480058012280302,2025-06-16 09:57:15.796547890,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,-0.1770587942236847,2025-06-16 09:57:15.797281981,0.34069754421851545,-0.37499896039456576
5,13,5353,5353,1,-0.6224999671929786,2025-06-16 09:57:16.007129908,-0.4617521117255673,-0.40274685005577193
5,13,5353,5353,1,-0.6224999671929786,2025-06-16 09:57:16.008285046,-0.4617521117255673,-0.40274685005577193
14,5,443,59537,0,-0.5578244594612406,2025-06-16 09:57:16.094873905,0.5249567517042651,-0.38713015587482863
5,10,59537,443,0,-0.24993260575240353,2025-06-16 09:57:16.095901012,0.34069754421851545,-0.37499896039456576
14,5,443,59537,0,-0.6425402653633763,2025-06-16 09:57:16.416125059,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,0.6746538780182167,2025-06-16 09:57:16.443887949,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,0.6746538780182167,2025-06-16 09:57:16.443887949,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,0.6746538780182167,2025-06-16 09:57:16.443887949,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,-0.48586157057663076,2025-06-16 09:57:16.443887949,0.5249567517042651,-0.38713015587482863
5,10,59537,443,0,-0.6480058012280302,2025-06-16 09:57:16.444037914,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.445744038,0.34069754421851545,-0.37499896039456576
14,5,443,59537,0,-0.6425402653633763,2025-06-16 09:57:16.718189955,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,-0.6425402653633763,2025-06-16 09:57:16.718189955,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,-0.6425402653633763,2025-06-16 09:57:16.718189955,0.5249567517042651,-0.38713015587482863
14,5,443,59537,0,-0.6425402653633763,2025-06-16 09:57:16.718189955,0.5249567517042651,-0.38713015587482863
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.718278885,0.34069754421851545,-0.37499896039456576
5,10,59537,443,0,0.6637228062889089,2025-06-16 09:57:16.718278885,0.34069754421851545,-0.37499896039456576
